gene	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	r_x_X	r_n_N	r_nns_Nns	r_ns_Ns	r_nnc_Nnc	r_nsnc_Nsnc
AARSD1	296207	79663	0	0	0	0	50	4	3326885	1.202326e-06	0	0	0	NaN	0
AASDH	528831	145122	0	1	1	0	50	15	4972807	3.016405e-06	2.967566e-06	1.890963e-06	6.890754e-06	NaN	6.890754e-06
AASDHPPT	151956	38994	0	0	0	0	50	5	2802074	1.784393e-06	0	0	0	NaN	0
AASS	455064	122409	0	0	0	0	50	2	4087670	4.892763e-07	0	0	0	NaN	0
AATF	276844	70283	0	0	0	0	50	2	2482819	8.055360e-07	0	0	0	NaN	0
AATK	631006	208973	0	0	0	0	21	4	2111304	1.894564e-06	0	0	0	NaN	0
ABAT	249240	64923	0	2	2	0	11	3	640520	4.683694e-06	1.273224e-05	8.024394e-06	3.080572e-05	NaN	3.080572e-05
ABCA1	1101748	301634	0	1	1	0	50	5	4224953	1.183445e-06	1.425129e-06	9.076486e-07	3.315276e-06	NaN	3.315276e-06
ABCA10	767150	192826	0	2	0	0	50	5	3683593	1.357370e-06	2.083385e-06	2.607052e-06	0	NaN	0
ABCA12	1272598	340427	0	0	0	0	26	1	2089596	4.785614e-07	0	0	0	NaN	0
ABCA13	2423725	641927	0	1	0	0	5	2	1250354	1.599547e-06	3.261949e-07	4.125881e-07	0	NaN	0
ABCA2	1179200	361264	0	1	0	0	11	0	830398	0	6.491551e-07	8.480326e-07	0	NaN	0
ABCA3	812174	240061	0	2	1	0	50	3	3793942	7.907343e-07	2.851074e-06	2.462527e-06	4.165608e-06	NaN	4.165608e-06
ABCA4	1102820	307798	0	4	2	0	50	2	4705008	4.250790e-07	4.253455e-06	3.627065e-06	6.497768e-06	NaN	6.497768e-06
ABCA5	815859	205422	0	0	0	0	50	8	3513949	2.276641e-06	0	0	0	NaN	0
ABCA6	802325	203881	0	1	1	0	50	7	3706976	1.888332e-06	1.987665e-06	1.246378e-06	4.904822e-06	NaN	4.904822e-06
ABCA7	1001650	329171	0	1	1	0	50	6	3520917	1.704102e-06	1.502832e-06	9.983527e-07	3.037935e-06	NaN	3.037935e-06
ABCA8	778875	204819	0	1	0	0	50	6	4554995	1.317235e-06	1.016576e-06	1.283903e-06	0	NaN	0
ABCA9	799913	210514	0	1	0	0	50	7	4251150	1.646613e-06	9.896806e-07	1.250136e-06	0	NaN	0
ABCB1	621157	172994	0	1	0	0	50	0	4399220	0	1.259206e-06	1.609899e-06	0	NaN	0
ABCB10	342102	113565	0	0	0	0	50	7	3477635	2.012862e-06	0	0	0	NaN	0
ABCB11	642195	176679	0	1	0	0	50	4	4749362	8.422184e-07	1.221189e-06	1.557159e-06	0	NaN	0
ABCB4	624239	173932	0	1	1	0	50	8	3616325	2.212191e-06	2.505729e-06	1.601951e-06	5.749373e-06	NaN	5.749373e-06
ABCB5	618678	169041	0	0	2	0	16	2	990059	2.020082e-06	2.538976e-06	0	1.183145e-05	NaN	1.183145e-05
ABCB6	398449	124352	0	1	0	0	50	9	3598905	2.500761e-06	1.912774e-06	2.509731e-06	0	NaN	0
ABCB7	364279	103247	0	1	0	0	50	9	3024246	2.975948e-06	2.138918e-06	2.745149e-06	0	NaN	0
ABCB8	334598	111421	0	1	0	0	50	3	3487216	8.602851e-07	2.242057e-06	2.988661e-06	0	NaN	0
ABCB9	359254	112091	0	0	0	0	50	5	4093566	1.221429e-06	0	0	0	NaN	0
ABCC1	736330	211586	0	0	0	0	50	4	3701147	1.080746e-06	0	0	0	NaN	0
ABCC10	669330	229341	0	2	0	0	16	2	1148447	1.741482e-06	2.225509e-06	2.988063e-06	0	NaN	0
ABCC11	667454	189811	0	1	1	0	50	11	3546176	3.101933e-06	2.333001e-06	1.498231e-06	5.268399e-06	NaN	5.268399e-06
ABCC12	657672	184920	0	0	0	0	50	6	3361457	1.784940e-06	0	0	0	NaN	0
ABCC2	746313	210849	0	1	0	0	8	0	774788	0	1.044755e-06	1.339920e-06	0	NaN	0
ABCC3	735861	226527	0	1	0	0	5	0	399789	0	1.039082e-06	1.358952e-06	0	NaN	0
ABCC4	652446	180699	0	1	0	0	50	2	3627179	5.513927e-07	1.200271e-06	1.532694e-06	0	NaN	0
ABCC5	698676	200196	0	1	2	0	50	7	3810558	1.837001e-06	3.337516e-06	1.431279e-06	9.990210e-06	NaN	9.990210e-06
ABCC6	718039	229274	0	1	1	0	12	2	1210221	1.652591e-06	2.111235e-06	1.392682e-06	4.361594e-06	NaN	4.361594e-06
ABCC8	760182	224316	0	1	1	0	50	2	3583830	5.580622e-07	2.031492e-06	1.315474e-06	4.457997e-06	NaN	4.457997e-06
ABCC9	779076	213864	0	2	0	0	40	9	3121731	2.883016e-06	2.014220e-06	2.567144e-06	0	NaN	0
ABCD1	344313	112761	0	0	1	0	50	10	4297849	2.326745e-06	2.187830e-06	0	8.868314e-06	NaN	8.868314e-06
ABCD2	355502	98557	0	1	0	0	50	7	3431740	2.039782e-06	2.202357e-06	2.812924e-06	0	NaN	0
ABCD3	334464	87435	0	1	0	0	50	2	4253428	4.702090e-07	2.370236e-06	2.989858e-06	0	NaN	0
ABCD4	297413	83080	0	0	0	0	50	10	4751841	2.104448e-06	0	0	0	NaN	0
ABCE1	300026	76045	0	0	0	0	50	1	3006826	3.325766e-07	0	0	0	NaN	0
ABCF1	421497	108339	0	0	0	0	50	4	3205682	1.247784e-06	0	0	0	NaN	0
ABCF2	312421	82946	0	1	0	0	50	2	4485985	4.458330e-07	2.529296e-06	3.200809e-06	0	NaN	0
ABCF3	345787	98423	0	0	0	0	50	2	3432209	5.827151e-07	0	0	0	NaN	0
ABCG1	352353	102510	0	1	0	0	50	4	3869518	1.033720e-06	2.198464e-06	2.838063e-06	0	NaN	0
ABCG2	320327	87301	0	1	0	0	50	6	4183346	1.434259e-06	2.453217e-06	3.121810e-06	0	NaN	0
ABCG4	309540	91857	0	0	0	0	50	8	4150784	1.927347e-06	0	0	0	NaN	0
ABCG5	310478	92326	0	0	0	0	50	7	3525205	1.985700e-06	0	0	0	NaN	0
ABCG8	324146	92326	0	1	1	0	50	7	3649959	1.917830e-06	4.802244e-06	3.085030e-06	1.083119e-05	NaN	1.083119e-05
ABHD1	193027	59027	0	0	1	0	50	9	2980830	3.019293e-06	3.967404e-06	0	1.694140e-05	NaN	1.694140e-05
ABHD10	146797	41942	0	0	0	0	50	5	4062478	1.230776e-06	0	0	0	NaN	0
ABHD11	189878	59563	0	0	0	0	50	3	4008945	7.483266e-07	0	0	0	NaN	0
ABHD12	205623	56682	0	0	0	0	50	1	4517006	2.213856e-07	0	0	0	NaN	0
ABHD12B	146663	38257	0	0	0	0	50	4	3600044	1.111098e-06	0	0	0	NaN	0
ABHD13	159527	45091	0	0	0	0	50	5	2780098	1.798498e-06	0	0	0	NaN	0
ABHD14A	124285	42947	0	0	0	0	50	3	3254659	9.217556e-07	0	0	0	NaN	0
ABHD14B	97485	32160	0	0	0	0	50	2	3310671	6.041071e-07	0	0	0	NaN	0
ABHD15	211050	72963	0	0	0	0	50	3	3277908	9.152179e-07	0	0	0	NaN	0
ABHD2	208303	55811	0	0	0	0	50	1	3655788	2.735388e-07	0	0	0	NaN	0
ABHD3	198722	54940	0	0	1	0	50	8	2990813	2.674858e-06	3.942254e-06	0	1.820167e-05	NaN	1.820167e-05
ABHD4	164887	47168	0	0	0	0	50	7	3549191	1.972280e-06	0	0	0	NaN	0
ABHD5	169175	46699	0	0	0	0	50	6	4034003	1.487356e-06	0	0	0	NaN	0
ABHD6	165490	44756	0	1	0	0	50	2	3899199	5.129259e-07	4.756333e-06	6.042661e-06	0	NaN	0
ABHD8	202608	65928	0	0	0	0	50	6	3842115	1.561640e-06	0	0	0	NaN	0
ABI1	252657	74169	0	1	0	0	50	2	3403935	5.875553e-07	3.059732e-06	3.957935e-06	0	NaN	0
ABI2	229006	65258	0	0	0	0	50	2	4269307	4.684601e-07	0	0	0	NaN	0
ABI3	170783	56146	0	0	0	0	50	1	3087427	3.238943e-07	0	0	0	NaN	0
ABI3BP	532449	144117	0	0	0	0	50	0	4041172	0	0	0	0	NaN	0
ABL1	551745	166428	0	0	0	0	50	8	4132895	1.935689e-06	0	0	0	NaN	0
ABL2	581426	172726	0	0	0	0	50	6	4183480	1.434213e-06	0	0	0	NaN	0
ABLIM1	410107	107870	0	1	0	0	13	1	833681	1.199500e-06	1.930588e-06	2.438388e-06	0	NaN	0
ABLIM2	331047	85023	0	0	0	0	17	1	936526	1.067776e-06	0	0	0	NaN	0
ABLIM3	343710	87234	0	0	1	0	50	3	3205749	9.358187e-07	2.320487e-06	0	1.146342e-05	NaN	1.146342e-05
ABO	168907	50183	0	0	0	0	50	5	3886670	1.286448e-06	0	0	0	NaN	0
ABP1	350946	106128	0	0	0	0	50	4	3527818	1.133845e-06	0	0	0	NaN	0
ABR	444076	120131	0	1	0	0	50	7	3954943	1.769937e-06	1.772399e-06	2.251867e-06	0	NaN	0
ABRA	181436	50116	0	0	0	0	50	11	7709221	1.426863e-06	0	0	0	NaN	0
ABT1	127434	39195	0	0	0	0	50	2	3651634	5.477000e-07	0	0	0	NaN	0
ABTB1	231083	67000	0	0	0	0	50	3	4166931	7.199543e-07	0	0	0	NaN	0
ABTB2	403608	115776	0	3	1	0	50	4	3182500	1.256874e-06	7.701431e-06	7.432955e-06	8.637369e-06	NaN	8.637369e-06
ACAA1	202675	62444	0	0	0	0	50	6	3903420	1.537114e-06	0	0	0	NaN	0
ACAA2	192089	55141	0	0	0	0	50	5	3258009	1.534680e-06	0	0	0	NaN	0
ACACA	1172098	320729	0	0	0	0	46	3	3352211	8.949317e-07	0	0	0	NaN	0
ACACB	1188312	335871	0	2	0	0	6	1	716431	1.395808e-06	1.312178e-06	1.683060e-06	0	NaN	0
ACAD10	522935	151822	0	0	0	0	50	1	2615613	3.823196e-07	0	0	0	NaN	0
ACAD11	384446	101773	0	1	0	0	50	4	3647279	1.096708e-06	2.056686e-06	2.601146e-06	0	NaN	0
ACAD8	202742	56548	0	0	1	0	28	3	1953921	1.535374e-06	3.856686e-06	0	1.768409e-05	NaN	1.768409e-05
ACAD9	302840	85894	0	0	0	0	50	6	4239023	1.415420e-06	0	0	0	NaN	0
ACADL	211050	56883	0	0	0	0	50	3	3268662	9.178067e-07	0	0	0	NaN	0
ACADM	210648	55074	0	1	0	0	50	4	3696926	1.081980e-06	3.763332e-06	4.747256e-06	0	NaN	0
ACADS	197650	58625	0	1	0	0	50	1	4413357	2.265849e-07	3.902058e-06	5.059449e-06	0	NaN	0
ACADSB	212323	56816	0	0	0	0	50	6	3599843	1.666739e-06	0	0	0	NaN	0
ACADVL	317781	93465	0	1	0	0	50	0	2815742	0	2.431635e-06	3.146821e-06	0	NaN	0
ACAN	1154611	385250	0	1	0	0	10	0	1040041	0	6.494093e-07	8.660926e-07	0	NaN	0
ACAP1	357713	106396	0	0	0	0	50	5	3154427	1.585074e-06	0	0	0	NaN	0
ACAP2	392218	95207	0	0	0	0	50	3	3204409	9.362101e-07	0	0	0	NaN	0
ACAP3	406757	115642	0	0	0	0	48	5	3623628	1.379833e-06	0	0	0	NaN	0
ACAT1	208236	59094	0	0	0	0	50	2	3162936	6.323239e-07	0	0	0	NaN	0
ACAT2	190615	55811	0	0	0	0	50	6	4001039	1.499610e-06	0	0	0	NaN	0
ACBD3	255471	69546	0	0	0	0	50	5	3598771	1.389363e-06	0	0	0	NaN	0
ACBD4	190012	29480	0	0	0	0	50	5	2926158	1.708725e-06	0	0	0	NaN	0
ACBD5	262841	63985	0	0	0	0	50	0	3634147	0	0	0	0	NaN	0
ACBD6	139092	37185	0	0	0	0	50	5	4376239	1.142534e-06	0	0	0	NaN	0
ACBD7	45694	10787	0	0	0	0	50	4	3456195	1.157342e-06	0	0	0	NaN	0
ACCN1	354765	104520	0	0	0	0	50	15	7565908	1.982578e-06	0	0	0	NaN	0
ACCN2	279926	75643	0	0	0	0	50	15	7537031	1.990174e-06	0	0	0	NaN	0
ACCN3	276509	75844	0	0	0	0	50	15	7537232	1.990121e-06	0	0	0	NaN	0
ACCN4	311215	98222	0	0	0	0	50	15	7559610	1.984229e-06	0	0	0	NaN	0
ACCN5	250178	62578	0	0	0	0	50	15	7523966	1.993629e-06	0	0	0	NaN	0
ACCS	245756	67804	0	1	0	0	50	5	3127828	1.598553e-06	3.189182e-06	4.069077e-06	0	NaN	0
ACCSL	279323	75040	0	0	0	0	50	5	4693819	1.065231e-06	0	0	0	NaN	0
ACD	255806	85090	0	0	0	0	50	3	2978150	1.007337e-06	0	0	0	NaN	0
ACE	665310	183513	0	1	0	0	50	6	3609223	1.662408e-06	1.178102e-06	1.503059e-06	0	NaN	0
ACE2	401263	98624	0	0	0	0	50	4	3634348	1.100610e-06	0	0	0	NaN	0
ACER1	130114	34103	0	0	1	0	16	3	814787	3.681944e-06	6.089504e-06	0	2.932293e-05	NaN	2.932293e-05
ACER2	134067	36381	0	0	0	0	50	4	4015243	9.962037e-07	0	0	0	NaN	0
ACER3	135943	33701	0	1	0	0	50	4	3068131	1.303725e-06	5.894697e-06	7.356024e-06	0	NaN	0
ACHE	299691	101103	0	0	0	0	50	6	4326123	1.386923e-06	0	0	0	NaN	0
ACIN1	659548	194099	0	2	0	0	7	0	848019	0	2.342889e-06	3.032380e-06	0	NaN	0
ACLY	537005	150013	0	1	0	0	50	2	2583051	7.742782e-07	1.455566e-06	1.862180e-06	0	NaN	0
ACMSD	168438	42411	0	0	0	0	50	2	3148598	6.352034e-07	0	0	0	NaN	0
ACN9	60568	16214	0	0	0	0	50	5	3280722	1.524055e-06	0	0	0	NaN	0
ACO1	433423	119327	0	0	0	0	50	3	4107033	7.304543e-07	0	0	0	NaN	0
ACO2	376339	108674	0	0	0	0	26	2	2178438	9.180890e-07	0	0	0	NaN	0
ACOT1	192491	63583	0	0	0	0	50	3	4764638	6.296386e-07	0	0	0	NaN	0
ACOT11	322337	90115	0	1	0	0	50	6	3445944	1.741177e-06	2.424525e-06	3.102343e-06	0	NaN	0
ACOT12	273628	73298	0	0	0	0	50	5	2606367	1.918379e-06	0	0	0	NaN	0
ACOT13	69144	20301	0	0	0	0	50	1	2873898	3.479595e-07	0	0	0	NaN	0
ACOT2	220698	72762	0	1	0	0	50	4	3502894	1.141913e-06	3.407619e-06	4.531079e-06	0	NaN	0
ACOT4	194434	61640	0	0	0	0	50	4	3722185	1.074638e-06	0	0	0	NaN	0
ACOT6	99629	27001	0	0	0	0	50	5	3183304	1.570695e-06	0	0	0	NaN	0
ACOT7	222708	64923	0	0	0	0	50	4	2370862	1.687150e-06	0	0	0	NaN	0
ACOT8	156043	43952	0	0	0	0	50	6	4526118	1.325639e-06	0	0	0	NaN	0
ACOT9	227666	55141	0	0	0	0	50	5	3341424	1.496368e-06	0	0	0	NaN	0
ACOX1	349137	93867	0	0	0	0	50	1	3281258	3.047612e-07	0	0	0	NaN	0
ACOX2	329707	93197	0	0	0	0	50	3	3647346	8.225159e-07	0	0	0	NaN	0
ACOX3	339489	96882	0	0	0	0	50	7	3811161	1.836711e-06	0	0	0	NaN	0
ACOXL	285353	78658	0	1	1	0	26	1	2211938	4.520922e-07	5.494339e-06	3.504431e-06	1.271327e-05	NaN	1.271327e-05
ACP1	108808	22646	0	0	0	0	50	3	3738734	8.024107e-07	0	0	0	NaN	0
ACP2	208705	61238	0	0	0	0	50	5	3886871	1.286382e-06	0	0	0	NaN	0
ACP5	152023	47369	0	1	0	0	50	7	3691566	1.896214e-06	5.015246e-06	6.577952e-06	0	NaN	0
ACP6	209308	57017	0	0	0	0	50	0	4237348	0	0	0	0	NaN	0
ACPL2	230681	63382	0	0	0	0	50	3	3527416	8.504809e-07	0	0	0	NaN	0
ACPP	210380	54940	0	0	0	0	50	2	3375728	5.924648e-07	0	0	0	NaN	0
ACPT	197248	68675	0	0	0	0	50	4	3190540	1.253706e-06	0	0	0	NaN	0
ACR	196578	61908	0	1	0	0	50	8	4363777	1.833274e-06	3.868681e-06	5.087039e-06	0	NaN	0
ACRBP	263176	72494	0	0	0	0	50	8	4478548	1.786293e-06	0	0	0	NaN	0
ACRC	344581	82343	0	0	0	0	50	2	3521453	5.679474e-07	0	0	0	NaN	0
ACRV1	130449	32361	0	0	0	0	50	4	3914006	1.021971e-06	0	0	0	NaN	0
ACSBG1	350276	97753	0	2	0	0	50	3	3196771	9.384470e-07	4.463997e-06	5.709783e-06	0	NaN	0
ACSBG2	328568	84889	0	1	0	0	50	4	4125927	9.694791e-07	2.418631e-06	3.043510e-06	0	NaN	0
ACSF2	299356	84152	0	0	0	0	50	2	3486144	5.736998e-07	0	0	0	NaN	0
ACSF3	271015	84152	0	0	0	0	49	4	5192768	7.703021e-07	0	0	0	NaN	0
ACSL1	344246	93331	0	1	0	0	50	4	3436430	1.163999e-06	2.285312e-06	2.904899e-06	0	NaN	0
ACSL3	352420	93599	0	0	0	0	50	4	3006759	1.330336e-06	0	0	0	NaN	0
ACSL4	348534	91254	0	1	0	0	32	4	2948938	1.356421e-06	2.273823e-06	2.869161e-06	0	NaN	0
ACSL5	364748	97552	0	0	0	0	50	7	3873136	1.807321e-06	0	0	0	NaN	0
ACSL6	367897	100835	0	0	0	0	50	2	3105651	6.439874e-07	0	0	0	NaN	0
ACSM1	280797	77787	0	0	0	0	50	5	4147836	1.205448e-06	0	0	0	NaN	0
ACSM2A	280730	78256	0	1	0	0	50	4	3560916	1.123306e-06	2.785624e-06	3.562142e-06	0	NaN	0
ACSM2B	280864	78122	0	1	0	0	50	6	3663895	1.637602e-06	2.785624e-06	3.560442e-06	0	NaN	0
ACSM3	313493	84085	0	0	0	0	50	3	3843991	7.804389e-07	0	0	0	NaN	0
ACSM4	283142	76849	0	0	0	0	50	6	4642095	1.292520e-06	0	0	0	NaN	0
ACSM5	279256	80936	0	0	0	0	50	3	3916686	7.659537e-07	0	0	0	NaN	0
ACSS1	329238	97284	0	2	0	0	50	4	3810491	1.049733e-06	4.689090e-06	6.074633e-06	0	NaN	0
ACSS2	350410	95207	0	0	0	0	50	5	4213027	1.186795e-06	0	0	0	NaN	0
ACSS3	331248	95475	0	1	0	0	50	12	4258319	2.818013e-06	2.343441e-06	3.018886e-06	0	NaN	0
ACTA1	182039	50719	0	0	0	0	50	7	3798766	1.842704e-06	0	0	0	NaN	0
ACTA2	184183	50183	0	0	0	0	50	7	3434286	2.038269e-06	0	0	0	NaN	0
ACTB	179024	51724	0	1	1	0	50	4	2283025	1.752061e-06	8.667464e-06	5.585843e-06	1.933338e-05	NaN	1.933338e-05
ACTBL2	175674	52059	0	0	0	0	50	3	3816387	7.860838e-07	0	0	0	NaN	0
ACTC1	181637	51121	0	0	0	0	50	1	4549501	2.198043e-07	0	0	0	NaN	0
ACTG1	178622	52126	0	0	0	0	50	5	3558169	1.405217e-06	0	0	0	NaN	0
ACTG2	183781	50384	0	2	0	0	50	8	5215347	1.533934e-06	8.540986e-06	1.088252e-05	0	NaN	0
ACTL6A	215941	54605	0	0	0	0	50	3	3032822	9.891777e-07	0	0	0	NaN	0
ACTL6B	210313	57620	0	1	0	0	50	9	4137719	2.175111e-06	3.732276e-06	4.754818e-06	0	NaN	0
ACTL7A	202541	60367	0	0	1	0	50	6	3867843	1.551252e-06	3.803612e-06	0	1.656534e-05	NaN	1.656534e-05
ACTL7B	191955	59697	0	0	0	0	50	4	3650897	1.095621e-06	0	0	0	NaN	0
ACTL8	171185	51724	0	1	0	0	50	0	3145717	0	4.486136e-06	5.841633e-06	0	NaN	0
ACTL9	187131	64722	0	0	0	0	50	8	3731029	2.144181e-06	0	0	0	NaN	0
ACTN1	450910	117719	0	1	1	0	50	4	2475784	1.615650e-06	3.517232e-06	2.217737e-06	8.494805e-06	NaN	8.494805e-06
ACTN2	443205	112560	0	1	2	0	32	4	2630085	1.520863e-06	5.397965e-06	2.256292e-06	1.776830e-05	NaN	1.776830e-05
ACTN3	439386	121002	0	0	0	0	50	8	4267565	1.874605e-06	0	0	0	NaN	0
ACTN4	450441	115977	0	0	0	0	50	3	4014707	7.472525e-07	0	0	0	NaN	0
ACTR10	205154	56749	0	0	0	0	50	3	3544501	8.463815e-07	0	0	0	NaN	0
ACTR1A	183580	51791	0	0	0	0	50	4	3655051	1.094376e-06	0	0	0	NaN	0
ACTR1B	182441	52930	0	0	0	0	50	3	3608352	8.314045e-07	0	0	0	NaN	0
ACTR2	195640	52796	0	0	0	0	50	4	3083876	1.297069e-06	0	0	0	NaN	0
ACTR3	207231	54270	0	0	0	0	50	2	3239584	6.173632e-07	0	0	0	NaN	0
ACTR3B	206695	54806	0	0	0	0	50	8	4307430	1.857256e-06	0	0	0	NaN	0
ACTR3C	104989	27872	0	0	0	0	50	15	7489260	2.002868e-06	0	0	0	NaN	0
ACTR5	289641	83817	0	1	0	0	50	1	3616057	2.765443e-07	2.677677e-06	3.452550e-06	0	NaN	0
ACTR6	200263	47570	0	0	0	0	50	6	3403935	1.762666e-06	0	0	0	NaN	0
ACTR8	304984	81941	0	1	0	0	50	6	3619206	1.657822e-06	2.584480e-06	3.278861e-06	0	NaN	0
ACTRT1	175540	51791	0	0	0	0	50	13	3849619	3.376958e-06	0	0	0	NaN	0
ACTRT2	174736	53600	0	0	0	0	50	5	3055602	1.636339e-06	0	0	0	NaN	0
ACVR1	249106	65660	0	0	0	0	50	2	4647522	4.303369e-07	0	0	0	NaN	0
ACVR1B	263243	74236	0	0	0	0	50	5	2782309	1.797069e-06	0	0	0	NaN	0
ACVR1C	238118	66196	0	0	1	0	50	6	4351985	1.378681e-06	3.286080e-06	0	1.510665e-05	NaN	1.510665e-05
ACVR2A	253327	64655	0	0	0	0	50	0	4362705	0	0	0	0	NaN	0
ACVR2B	247431	70350	0	0	0	0	50	9	4238219	2.123533e-06	0	0	0	NaN	0
ACVRL1	240195	70953	0	0	1	0	50	8	3323602	2.407027e-06	3.213905e-06	0	1.409384e-05	NaN	1.409384e-05
ACY1	201670	56213	0	0	0	0	50	3	2986458	1.004534e-06	0	0	0	NaN	0
ACY3	150549	47235	0	0	0	0	50	5	3585304	1.394582e-06	0	0	0	NaN	0
ACYP1	63248	15343	0	0	0	0	50	5	3978326	1.256810e-06	0	0	0	NaN	0
ACYP2	50049	12663	0	0	0	0	50	2	3716691	5.381131e-07	0	0	0	NaN	0
ADA	180029	48307	0	0	0	0	50	3	3854309	7.783496e-07	0	0	0	NaN	0
ADAD1	283410	73767	0	0	0	0	50	8	3622623	2.208345e-06	0	0	0	NaN	0
ADAD2	307932	101706	0	0	0	0	50	4	3673677	1.088827e-06	0	0	0	NaN	0
ADAL	181771	46163	0	1	0	0	50	9	4994180	1.802098e-06	4.387235e-06	5.501428e-06	0	NaN	0
ADAM10	371850	91857	0	0	1	0	50	6	3345913	1.793233e-06	2.156534e-06	0	1.088649e-05	NaN	1.088649e-05
ADAM11	378014	107200	0	0	0	0	50	9	4784068	1.881244e-06	0	0	0	NaN	0
ADAM12	458682	129042	0	0	0	0	50	6	3713408	1.615766e-06	0	0	0	NaN	0
ADAM15	417209	121873	0	0	0	0	50	7	3937322	1.777858e-06	0	0	0	NaN	0
ADAM17	411447	100500	0	0	0	0	50	3	3612707	8.304022e-07	0	0	0	NaN	0
ADAM18	372453	89445	0	1	0	0	50	5	4221000	1.184553e-06	2.164980e-06	2.684903e-06	0	NaN	0
ADAM19	447560	124687	0	1	0	0	50	2	3353953	5.963113e-07	1.747497e-06	2.234337e-06	0	NaN	0
ADAM2	372185	88105	0	2	0	0	50	2	3462292	5.776520e-07	4.345087e-06	5.373672e-06	0	NaN	0
ADAM20	370510	98825	0	2	0	0	50	5	3116103	1.604568e-06	4.261349e-06	5.397965e-06	0	NaN	0
ADAM21	343174	92795	0	1	1	0	50	4	4204451	9.513727e-07	4.587482e-06	2.913974e-06	1.077644e-05	NaN	1.077644e-05
ADAM22	472685	117853	0	0	0	0	50	3	3235162	9.273106e-07	0	0	0	NaN	0
ADAM23	416606	105793	0	1	0	0	50	6	3623427	1.655891e-06	1.914246e-06	2.400349e-06	0	NaN	0
ADAM28	401598	95274	0	0	0	0	27	5	2681675	1.864506e-06	0	0	0	NaN	0
ADAM29	392486	102577	0	2	0	0	50	6	3039522	1.973995e-06	4.039890e-06	5.095723e-06	0	NaN	0
ADAM30	375334	101639	0	0	0	0	50	7	3896854	1.796321e-06	0	0	0	NaN	0
ADAM32	397444	97016	0	1	0	0	50	6	4186763	1.433088e-06	2.022408e-06	2.516078e-06	0	NaN	0
ADAM33	391749	116379	0	0	0	0	12	1	903897	1.106321e-06	0	0	0	NaN	0
ADAM7	380962	91388	0	0	0	0	50	8	4220196	1.895647e-06	0	0	0	NaN	0
ADAM8	411380	88105	0	0	0	0	50	5	4128406	1.211121e-06	0	0	0	NaN	0
ADAM9	406757	104989	0	0	0	0	50	1	2797920	3.574084e-07	0	0	0	NaN	0
ADAMDEC1	234098	60367	0	1	0	0	50	8	4340662	1.843037e-06	3.395989e-06	4.271715e-06	0	NaN	0
ADAMTS1	459553	130583	0	1	0	0	50	19	5607699	3.388199e-06	1.694525e-06	2.176028e-06	0	NaN	0
ADAMTS10	529032	155976	0	1	0	0	50	4	4244517	9.423923e-07	1.459837e-06	1.890245e-06	0	NaN	0
